"track_name","artist(s)_name","artist_count","in_spotify_playlists","in_spotify_charts","streams","in_apple_playlists","in_deezer_charts","bpm","danceability_%","valence_%","energy_%","acousticness_%","instrumentalness_%","liveness_%","speechiness_%"
"Seven (feat. Latto) (Explicit Ver.)","Latto, Jung Kook","2","553","147","141381703","43","10","125","80","89","83","31","0","8","4"
"LALA","Myke Towers","1","1474","48","133716286","48","14","92","71","61","74","7","0","10","4"
"vampire","Olivia Rodrigo","1","1397","113","140003974","94","14","138","51","32","53","17","0","31","6"
"Cruel Summer","Taylor Swift","1","7858","100","800840817","116","12","170","55","58","72","11","0","11","15"
"WHERE SHE GOES","Bad Bunny","1","3133","50","303236322","84","15","144","65","23","80","14","63","11","6"
"Sprinter","Dave, Central Cee","2","2186","91","183706234","67","17","141","92","66","58","19","0","8","24"
"Ella Baila Sola","Eslabon Armado, Peso Pluma","2","3090","50","725980112","34","13","148","67","83","76","48","0","8","3"
"Columbia","Quevedo","1","714","43","58149378","25","13","100","67","26","71","37","0","11","4"
"fukumean","Gunna","1","1096","83","95217315","60","11","130","85","22","62","12","0","28","9"
"La Bebe - Remix","Peso Pluma, Yng Lvcas","2","2953","44","553634067","49","13","170","81","56","48","21","0","8","33"
"un x100to","Bad Bunny, Grupo Frontera","2","2876","40","505671438","41","12","83","57","56","72","23","0","27","5"
"Super Shy","NewJeans","1","422","55","58255150","37","5","150","78","52","82","18","0","15","7"
"Flowers","Miley Cyrus","1","12211","115","1316855716","300","58","118","71","65","68","6","0","3","7"
"Daylight","David Kushner","1","3528","98","387570742","80","24","130","51","32","43","83","0","9","3"
"As It Was","Harry Styles","1","23575","130","2513188493","403","46","174","52","66","73","34","0","31","6"
